Files Compared,ORB 1,SSIM 1,ORB 2,SSIM 2,ORB 3,SSIM 3,ORB 4,SSIM 4,ORB 5,SSIM 5
"('60.png', '55.png')",0.800847458,0.694331365,0.692307692,0.802342442,0.896551724,0.848754365,0.958490566,0.937536116,1,0.962864748
"('60.png', '57.png')",0.761538462,0.826015623,0.785714286,0.738920918,0.927884615,0.851735149,0.961038961,0.932189527,1,0.983808308
"('60.png', '22.png')",0.714285714,0.77342318,0.828828829,0.791313215,0.946666667,0.859444021,0.948051948,0.957401975,0.994832041,0.97903631
"('60.png', '56.png')",0.654450262,0.799379792,0.800884956,0.82090248,0.871485944,0.831365314,0.954918033,0.943796201,1,0.909201318
"('60.png', '63.png')",0.668103448,0.780552697,0.857142857,0.821237618,0.873831776,0.848733211,0.971223022,0.943498592,1,0.986091611
"('60.png', '37.png')",0.798534799,0.816896499,0.8,0.751406255,0.92139738,0.840190975,0.947735192,0.943387049,1,0.977537467
"('60.png', '61.png')",0.905660377,0.748879134,0.804545455,0.810287463,0.880658436,0.834480161,0.983221477,0.948227418,1,0.986091611
"('60.png', '6.png')",0.701030928,0.743482051,0.803652968,0.81395902,0.8625,0.794924516,0.951456311,0.926368707,0.99702381,0.960312843
"('60.png', '23.png')",0.788844622,0.808041912,0.837104072,0.798895296,0.842105263,0.84181498,0.941176471,0.914528852,0.996969697,0.963167005
"('60.png', '42.png')",0.818867925,0.737464843,0.616740088,0.750278358,0.855140187,0.816020332,0.983388704,0.947586256,0.997442455,0.978924018
"('60.png', '15.png')",0.828193833,0.782706384,0.660944206,0.781228636,0.903553299,0.827603687,0.966442953,0.950114972,0.994397759,0.960571518
"('60.png', '52.png')",0.753138075,0.785961513,0.804651163,0.792477921,0.89380531,0.852892443,0.956081081,0.948903508,0.993548387,0.937905515
"('60.png', '7.png')",0.778688525,0.80255983,0.852380952,0.800336823,0.893333333,0.82148073,0.959107807,0.905765035,0.9975,0.977512397
"('60.png', '8.png')",0.879562044,0.750990757,0.756756757,0.837792422,0.933333333,0.835033197,0.985454545,0.954356421,1,0.983304304
"('60.png', '11.png')",0.767527675,0.750962004,0.634782609,0.775733953,0.905405405,0.840740252,0.969811321,0.915140688,1,0.983669071
"('60.png', '12.png')",0.852112676,0.781196979,0.896551724,0.824712254,0.911627907,0.810974503,0.95212766,0.938900966,0.997481108,0.977730222
"('60.png', '13.png')",0.661016949,0.77502341,0.854368932,0.80811815,0.895582329,0.84022253,0.975490196,0.928107425,0.996226415,0.911464256
"('60.png', '47.png')",0.707964602,0.716623372,0.789954338,0.823525789,0.89380531,0.830502069,0.961702128,0.93655159,1,0.955766065
"('60.png', '53.png')",0.888086643,0.754685091,0.81773399,0.818437939,0.879396985,0.856976697,0.962025316,0.912091409,1,0.934015966
"('60.png', '46.png')",0.893162393,0.711343007,0.818181818,0.755235243,0.920930233,0.846090567,0.975609756,0.923439233,0.994565217,0.960664353
"('60.png', '43.png')",0.845878136,0.746186631,0.77027027,0.821766834,0.910447761,0.799084577,0.960144928,0.938440372,1,0.954180279
"('60.png', '26.png')",0.814479638,0.529718349,0.813953488,0.767374684,0.939271255,0.856954208,0.971774194,0.956599321,1,0.971468506
"('60.png', '54.png')",0.786231884,0.838540959,0.816239316,0.821300362,0.882882883,0.850057789,0.951456311,0.903281505,0.99695122,0.927305255
"('60.png', '41.png')",0.769547325,0.767555405,0.82038835,0.744010901,0.951965066,0.859734259,0.982608696,0.929906422,0.992307692,0.975030256
"('60.png', '36.png')",0.789090909,0.777970533,0.757142857,0.767598268,0.917073171,0.864000426,0.944636678,0.9472334,1,0.986091611
"('60.png', '51.png')",0.814696486,0.78810143,0.751091703,0.804330935,0.87804878,0.817231729,0.92578125,0.944166566,0.996587031,0.924436049
"('60.png', '2.png')",0.703349282,0.712086107,0.832599119,0.811818805,0.903474903,0.846853002,0.976833977,0.955488992,1,0.93748592
"('60.png', '27.png')",0.79916318,0.804976557,0.811403509,0.818709457,0.879396985,0.856213487,0.948412698,0.945253474,1,0.955277096
"('60.png', '17.png')",0.784860558,0.813015123,0.737327189,0.786270254,0.856502242,0.81373957,0.972727273,0.919015846,0.992063492,0.977315118
"('60.png', '16.png')",0.872791519,0.776961756,0.809128631,0.825790239,0.806122449,0.827949465,0.965517241,0.899390754,1,0.983708843
"('60.png', '31.png')",0.58988764,0.781923102,0.838565022,0.731644467,0.902702703,0.787183513,0.956756757,0.90916176,1,0.983979646
"('60.png', '5.png')",0.875,0.516379266,0.827272727,0.797512887,0.969298246,0.884351192,0.948571429,0.876761694,1,0.971123601
"('60.png', '30.png')",0.771653543,0.777943259,0.786729858,0.810025201,0.849740933,0.759990689,0.959044369,0.939066036,1,0.986091611
"('60.png', '14.png')",0.746987952,0.760447947,0.859903382,0.800177489,0.952830189,0.856205588,0.958188153,0.943057202,1,0.986091611
"('60.png', '1.png')",0.691666667,0.770207851,0.866666667,0.828267393,0.927884615,0.866059243,0.953974895,0.920588955,0.997354497,0.970304746
"('60.png', '45.png')",0.747826087,0.78299799,0.811659193,0.833480783,0.910204082,0.864284773,0.972027972,0.961864716,1,0.964742134
"('60.png', '39.png')",0.71291866,0.79238863,0.855721393,0.779168679,0.837438424,0.814539715,0.993197279,0.954926134,1,0.975167488
"('60.png', '40.png')",0.774058577,0.787602271,0.817757009,0.827872708,0.82629108,0.830753175,0.961389961,0.939627673,1,0.986091611
"('60.png', '3.png')",0.850574713,0.76212428,0.734513274,0.796320607,0.896103896,0.863294581,0.948616601,0.932208235,1,0.943599479
"('60.png', '20.png')",0.83557047,0.786578079,0.67699115,0.765379619,0.914414414,0.84170236,0.975609756,0.932362405,0.997340426,0.969727956
"('60.png', '64.png')",0.808943089,0.800299857,0.898058252,0.827966404,0.91,0.841016919,0.957854406,0.937391429,1,0.898563594
"('60.png', '33.png')",0.767857143,0.794389494,0.819905213,0.759187885,0.905349794,0.867695868,0.96069869,0.888622146,1,0.928601294
"('60.png', '24.png')",0.874439462,0.743098124,0.887804878,0.809139568,0.89958159,0.860456375,0.95473251,0.935035852,0.997375328,0.968438079
"('60.png', '19.png')",0.875968992,0.786319157,0.840707965,0.843148183,0.929166667,0.858705972,0.966542751,0.958237603,1,0.983669071
"('60.png', '38.png')",0.776470588,0.756038562,0.762711864,0.801924968,0.917431193,0.878759252,0.95,0.908155017,0.98989899,0.973728984
"('60.png', '34.png')",0.769230769,0.783420921,0.751196172,0.669722473,0.917012448,0.871270525,0.93125,0.889937852,1,0.986091611
"('60.png', '29.png')",0.709677419,0.75317751,0.678414097,0.752673679,0.899122807,0.850192466,0.961832061,0.93263431,1,0.931435017
"('60.png', '49.png')",0.789029536,0.791914423,0.819095477,0.820974545,0.910931174,0.859340199,0.996478873,0.969195248,0.997435897,0.966184884
"('60.png', '4.png')",0.898916968,0.759558491,0.821596244,0.783890648,0.908730159,0.866506058,0.992932862,0.966562676,1,0.986091611
"('60.png', '59.png')",0.747863248,0.801009569,0.785407725,0.804416451,0.854077253,0.826621933,0.964412811,0.955738864,0.99380805,0.966417626
"('60.png', '50.png')",0.93495935,0.749586653,0.813333333,0.851269669,0.943478261,0.858064691,0.950331126,0.96108686,0.996138996,0.963099701
"('60.png', '28.png')",0.90438247,0.629296184,0.755760369,0.801048982,0.92039801,0.836380491,0.942408377,0.900670243,1,0.965034885
"('60.png', '25.png')",0.872586873,0.717635875,0.820276498,0.797766142,0.884057971,0.787069264,0.958955224,0.946592048,1,0.986091611
"('60.png', '48.png')",0.718614719,0.69978474,0.797356828,0.827356251,0.928870293,0.856704232,0.944983819,0.950231837,1,0.968649907
"('60.png', '9.png')",0.867549669,0.817213873,0.817391304,0.786474724,0.855263158,0.826946046,0.946843854,0.955281943,0.997409326,0.974028839
"('60.png', '62.png')",0.809160305,0.754270606,0.824786325,0.802082286,0.886639676,0.842940939,0.954716981,0.920872697,0.99704142,0.931951163
"('60.png', '44.png')",0.85620915,0.753721069,0.790243902,0.752219462,0.910313901,0.826714531,0.942492013,0.943363873,0.99197861,0.968452014
"('60.png', '35.png')",0.757322176,0.614813698,0.8,0.812161599,0.904761905,0.803054625,0.959409594,0.932789145,0.99537037,0.916421562
"('60.png', '10.png')",0.798479087,0.763465454,0.829493088,0.829957926,0.889795918,0.848486902,0.976653696,0.936114914,0.99713467,0.966867742
"('60.png', '18.png')",0.764705882,0.770518848,0.813953488,0.825406213,0.91627907,0.845972667,0.964980545,0.936503959,0.996884735,0.971404711
"('60.png', '32.png')",0.782978723,0.616918193,0.888888889,0.785582548,0.893162393,0.793401553,0.971830986,0.946551952,1,0.977201826
"('60.png', '21.png')",0.783216783,0.808366995,0.773755656,0.811894629,0.928251121,0.878493278,0.957377049,0.945839974,1,0.934723242
"('60.png', '58.png')",0.866449511,0.715517303,0.788659794,0.809425274,0.821428571,0.791604146,0.98615917,0.945353181,0.99734748,0.966794887
"('55.png', '57.png')",0.788461538,0.690477573,0.703910615,0.709778587,0.834782609,0.895474657,0.977578475,0.915388667,1,0.974489833
"('55.png', '22.png')",0.713080169,0.684789428,0.786516854,0.792858644,0.893491124,0.904717276,0.976377953,0.930337825,1,0.969717835
"('55.png', '56.png')",0.675257732,0.681188632,0.727722772,0.795084202,0.907894737,0.896874486,0.991266376,0.927654439,1,0.883993035
"('55.png', '63.png')",0.709251101,0.699825152,0.740740741,0.806727742,0.927272727,0.877856554,0.987654321,0.923018951,1,0.976773136
"('55.png', '37.png')",0.830827068,0.713006283,0.663551402,0.746498574,0.776,0.879793682,0.981751825,0.933736602,1,0.961067334
"('55.png', '61.png')",0.907172996,0.747899247,0.636792453,0.801166287,0.873563218,0.858492953,0.989010989,0.926905348,1,0.976773136
"('55.png', '6.png')",0.714285714,0.675284581,0.718446602,0.818170788,0.851351351,0.860900328,0.985507246,0.916527853,1,0.950994368
"('55.png', '23.png')",0.860082305,0.726658001,0.729064039,0.78759095,0.8125,0.880026699,0.988047809,0.896950315,1,0.953890986
"('55.png', '42.png')",0.844290657,0.746647518,0.605932203,0.749529896,0.925925926,0.860771287,0.977443609,0.928314957,0.997395833,0.969484285
"('55.png', '15.png')",0.891566265,0.749111033,0.575630252,0.749753042,0.869918699,0.86243836,0.992,0.930301538,1,0.957388024
"('55.png', '52.png')",0.870848708,0.78481941,0.785,0.780170758,0.837209302,0.89280606,0.966789668,0.935233928,1,0.928352656
"('55.png', '7.png')",0.816593886,0.696672224,0.790322581,0.788488779,0.9,0.871072398,0.969827586,0.900921922,1,0.973801588
"('55.png', '8.png')",0.845528455,0.711526691,0.733333333,0.758076671,0.942307692,0.879322368,0.981203008,0.936124661,1,0.973985829
"('55.png', '11.png')",0.776859504,0.704854369,0.576036866,0.764183078,0.88028169,0.876681014,0.975609756,0.896252496,1,0.974529157
"('55.png', '12.png')",0.882845188,0.74122217,0.779661017,0.811198482,0.912280702,0.852489346,0.967914439,0.922502687,1,0.968411747
"('55.png', '13.png')",0.736401674,0.683492916,0.737373737,0.797915798,0.875,0.870892293,0.985981308,0.914313948,1,0.903686403
"('55.png', '47.png')",0.728070175,0.714115442,0.684210526,0.814536257,0.868965517,0.883763439,0.978165939,0.918273596,0.997005988,0.945907525
"('55.png', '53.png')",0.892086331,0.74837629,0.74742268,0.805508662,0.873015873,0.89942538,0.967592593,0.895517889,1,0.932350288
"('55.png', '46.png')",0.991967871,0.762681269,0.68,0.744322761,0.848214286,0.87852403,0.979338843,0.905425406,1,0.951345878
"('55.png', '43.png')",0.846715328,0.725651821,0.724299065,0.799524666,0.805970149,0.851039186,0.98,0.921896647,1,0.948796023
"('55.png', '26.png')",0.830434783,0.55210406,0.740196078,0.787697991,0.897637795,0.896698321,0.984,0.937520409,1,0.964655569
"('55.png', '54.png')",0.827586207,0.703204908,0.70531401,0.796345901,0.896,0.899949507,0.994818653,0.889589471,1,0.933543945
"('55.png', '41.png')",0.803088803,0.720746655,0.747311828,0.730714842,0.899371069,0.900352698,0.977477477,0.919983913,1,0.965711781
"('55.png', '36.png')",0.776,0.701218038,0.71978022,0.760142912,0.841121495,0.908633876,0.973282443,0.929495333,1,0.976773136
