Files Compared,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM,ORB,SSIM
"('1.png', '2.png')",0.572,0.757886846,0.757847534,0.685106455,0.926315789,0.808167163,1,0.902271439,1,1
"('1.png', '3.png')",0.70531401,0.65547074,0.825242718,0.708408643,0.913705584,0.879777534,0.977375566,0.887515271,1,1
"('1.png', '4.png')",0.599078341,0.739719326,0.866336634,0.693214889,0.95154185,0.906304337,0.981481481,0.896723163,1,1
"('1.png', '5.png')",0.690322581,0.489044929,0.822033898,0.701066804,0.934911243,0.90481008,0.95,0.8178915,1,0.99571907
"('1.png', '6.png')",0.55952381,0.762381001,0.787878788,0.685509019,0.940594059,0.87895715,0.986238532,0.824451937,0.997311828,0.990134556
"('1.png', '7.png')",0.522321429,0.623910064,0.819277108,0.684162198,0.93877551,0.891318304,0.988416988,0.860452899,1,0.980063587
"('1.png', '8.png')",0.718918919,0.722831038,0.844444444,0.702806173,0.954314721,0.889280347,0.978723404,0.884865899,1,1
"('1.png', '9.png')",0.546255507,0.676661367,0.804761905,0.69556063,0.904040404,0.885857646,0.961038961,0.901499731,1,0.99757746
"('1.png', '10.png')",0.608490566,0.642542022,0.803418803,0.708640878,0.873684211,0.827695869,0.96347032,0.892715621,1,0.981098705
"('1.png', '11.png')",0.467248908,0.591066359,0.609756098,0.669178437,0.90052356,0.866776313,0.973214286,0.885946623,1,1
"('1.png', '12.png')",0.587962963,0.679782225,0.818181818,0.672851716,0.900552486,0.804229444,0.963963964,0.870135096,1,0.9940225
"('1.png', '13.png')",0.613445378,0.741118979,0.803030303,0.688246735,0.893401015,0.816724035,0.951612903,0.882133947,0.996815287,0.964239615
"('1.png', '14.png')",0.563876652,0.651088378,0.811965812,0.70784115,0.974489796,0.892378006,0.936170213,0.878557307,1,1
"('1.png', '15.png')",0.589285714,0.719664762,0.602094241,0.670969087,0.927884615,0.88571238,0.974358974,0.884411607,1,0.95835318
"('1.png', '16.png')",0.604651163,0.652433011,0.802752294,0.698305527,0.877192982,0.865594912,0.975845411,0.871912883,1,1
"('1.png', '17.png')",0.632286996,0.758168659,0.704081633,0.691682569,0.9,0.856287981,0.95631068,0.843815347,1,1
"('1.png', '18.png')",0.672897196,0.70021316,0.716666667,0.701987448,0.913265306,0.867107291,0.948717949,0.854804572,1,0.971997885
"('1.png', '19.png')",0.707865169,0.576884328,0.772511848,0.696488674,0.91160221,0.82906814,0.994974874,0.900651927,1,0.994279045
"('1.png', '20.png')",0.61928934,0.747668002,0.625,0.680870157,0.917475728,0.853097465,1,0.856389288,1,0.953537615
"('1.png', '21.png')",0.607438017,0.772156069,0.813636364,0.640098183,0.951923077,0.901746228,0.971962617,0.872332211,1,0.981949101
"('1.png', '22.png')",0.592741935,0.738591062,0.76076555,0.684953868,0.918604651,0.748583243,0.983805668,0.874225277,1,0.997762205
"('1.png', '23.png')",0.598086124,0.745730671,0.820276498,0.691527909,0.94972067,0.888365628,0.978165939,0.864658299,1,0.981989057
"('1.png', '24.png')",0.676923077,0.682782538,0.834710744,0.721902406,0.863874346,0.823358634,0.972093023,0.888644128,1,1
"('1.png', '25.png')",0.751412429,0.649557586,0.773584906,0.682926638,0.89119171,0.847000819,0.957446809,0.875841067,1,1
"('1.png', '26.png')",0.640522876,0.519449314,0.815165877,0.685988113,0.955665025,0.884508143,0.982300885,0.888275541,1,0.964685919
"('1.png', '27.png')",0.56372549,0.679977078,0.820895522,0.698207062,0.925287356,0.902528409,0.979757085,0.864285784,1,0.969199466
"('1.png', '28.png')",0.783625731,0.588066922,0.7239819,0.643256421,0.920187793,0.887723136,0.954773869,0.825066375,1,0.977934065
"('1.png', '29.png')",0.582608696,0.691781863,0.787610619,0.685570303,0.905,0.904281433,0.98206278,0.883606281,0.997005988,0.947203731
"('1.png', '30.png')",0.587378641,0.655306069,0.790794979,0.727052725,0.869318182,0.838984788,0.978448276,0.882397551,1,0.983075378
"('1.png', '31.png')",0.56097561,0.768339748,0.766233766,0.66518255,0.913294798,0.873309833,0.967741935,0.839529163,1,0.992459661
"('1.png', '32.png')",0.661458333,0.547037642,0.835497835,0.703071415,0.913043478,0.756470253,0.965517241,0.890653449,1,1
"('1.png', '33.png')",0.590517241,0.676517714,0.741293532,0.667202181,0.9,0.84813453,0.961538462,0.862684044,1,0.958649361
"('1.png', '34.png')",0.62704918,0.770818425,0.76,0.640389119,0.884816754,0.844889102,0.97983871,0.890387888,1,1
"('1.png', '35.png')",0.644859813,0.638248977,0.653061224,0.697791096,0.921296296,0.860969449,0.963114754,0.892537913,0.995652174,0.942044734
"('1.png', '36.png')",0.65625,0.77674524,0.855895197,0.661495345,0.90960452,0.872924693,0.96744186,0.895706908,1,1
"('1.png', '37.png')",0.635555556,0.6934253,0.773399015,0.680236332,0.911458333,0.836716,0.973782772,0.88105619,1,1
"('1.png', '38.png')",0.592,0.748372933,0.725,0.67362211,0.891304348,0.90434368,0.973913043,0.887256568,1,0.975065061
"('1.png', '39.png')",0.512711864,0.681306252,0.841004184,0.698632832,0.922279793,0.911914872,0.986425339,0.889195101,1,1
"('1.png', '40.png')",0.588,0.727836339,0.796875,0.700609708,0.901960784,0.875608818,0.973913043,0.868747554,1,1
"('1.png', '41.png')",0.617021277,0.745852392,0.84063745,0.667631981,0.885416667,0.820889654,0.973799127,0.875102679,0.994350282,0.941912775
"('1.png', '42.png')",0.611872146,0.642150165,0.563157895,0.66714376,0.90821256,0.861388621,0.972868217,0.87237257,1,0.975108024
"('1.png', '43.png')",0.657142857,0.634485399,0.769633508,0.703724423,0.895705521,0.819691872,0.981395349,0.895805776,1,0.983488578
"('1.png', '44.png')",0.525581395,0.637615317,0.797297297,0.672226211,0.912820513,0.817896279,0.991561181,0.881340282,1,1
"('1.png', '45.png')",0.607929515,0.666503542,0.717391304,0.695593655,0.891891892,0.894428549,0.982378855,0.877452763,1,0.960948954
"('1.png', '46.png')",0.756410256,0.588675715,0.850622407,0.681482187,0.914893617,0.856697701,0.987124464,0.884431183,1,0.986462608
"('1.png', '47.png')",0.463963964,0.580197624,0.821428571,0.6876296,0.859296482,0.8656922,0.987704918,0.887040012,0.996539792,0.966211732
"('1.png', '48.png')",0.497757848,0.587405067,0.776649746,0.698471096,0.919642857,0.881849315,0.958015267,0.816359212,1,0.99757746
"('1.png', '49.png')",0.620689655,0.727181055,0.805825243,0.69695277,0.887755102,0.85633281,0.980952381,0.895851803,1,0.928525052
"('1.png', '50.png')",0.623655914,0.67322982,0.766497462,0.699028986,0.923076923,0.878185885,0.991596639,0.852083154,1,0.994483708
"('1.png', '51.png')",0.536697248,0.624026444,0.848101266,0.687187563,0.92,0.833299363,0.975609756,0.839504699,1,0.94601745
"('1.png', '52.png')",0.601769912,0.700651814,0.756756757,0.68083324,0.947089947,0.879949784,0.983539095,0.870492677,1,0.951335572
"('1.png', '53.png')",0.691011236,0.588198384,0.773195876,0.677325905,0.89673913,0.841757304,0.968379447,0.877762635,1,0.937708225
"('1.png', '54.png')",0.541666667,0.643825366,0.870967742,0.698114063,0.924242424,0.899761449,0.97008547,0.885758159,1,1
"('1.png', '55.png')",0.613402062,0.584666807,0.744444444,0.692969629,0.918918919,0.893818572,0.976095618,0.849025067,1,1
"('1.png', '56.png')",0.534562212,0.718851757,0.759615385,0.694509159,0.884210526,0.818322694,0.978165939,0.889029758,1,0.988357961
"('1.png', '57.png')",0.592105263,0.75151145,0.7875,0.661931483,0.958974359,0.905653661,0.977678571,0.900210224,1,1
"('1.png', '58.png')",0.626213592,0.723073671,0.876595745,0.697761182,0.918032787,0.834970601,0.990610329,0.866390542,1,0.887077466
"('1.png', '59.png')",0.629310345,0.716273835,0.870967742,0.696417454,0.85326087,0.824083161,0.985849057,0.88681943,0.99669967,0.975799304
"('1.png', '60.png')",0.555555556,0.677262164,0.826484018,0.703178435,0.926267281,0.866736755,0.98156682,0.886236928,1,0.985031959
"('1.png', '61.png')",0.648648649,0.651918572,0.720379147,0.704349664,0.929577465,0.87738092,0.976303318,0.879527102,1,1
"('1.png', '62.png')",0.638211382,0.741091012,0.757575758,0.689692841,0.89893617,0.766307282,0.994923858,0.87139747,1,1
"('1.png', '63.png')",0.557939914,0.647513861,0.723076923,0.702755136,0.861271676,0.782403526,0.979079498,0.89081879,1,0.989154707
"('1.png', '64.png')",0.582222222,0.720843545,0.804347826,0.639898257,0.935483871,0.874831189,0.982378855,0.896284164,1,0.997841748
"('2.png', '3.png')",0.653061224,0.62964573,0.922330097,0.80512558,0.908571429,0.813968643,1,0.965853578,1,1
"('2.png', '4.png')",0.588832487,0.699254817,0.869791667,0.761010262,0.942708333,0.807635501,1,0.991871159,1,1
"('2.png', '5.png')",0.602484472,0.488897337,0.846846847,0.768360716,0.909677419,0.800506389,1,0.879787764,1,0.99571907
"('2.png', '6.png')",0.558035714,0.680638518,0.868644068,0.801332157,0.894009217,0.787993394,1,0.913859647,0.997311828,0.990134556
"('2.png', '7.png')",0.532019704,0.608116534,0.818181818,0.783727418,0.921875,0.800949779,1,0.915300473,1,0.980063587
"('2.png', '8.png')",0.692771084,0.681748015,0.9,0.776360794,0.917475728,0.788581919,1,0.960085413,1,1
"('2.png', '9.png')",0.557377049,0.63564799,0.892857143,0.747570068,0.856410256,0.811552706,1,0.979167074,1,0.99757746
"('2.png', '10.png')",0.5625,0.647485298,0.856502242,0.807900037,0.85326087,0.781363475,1,0.986473385,1,0.981098705
"('2.png', '11.png')",0.468619247,0.604627601,0.744075829,0.73331276,0.901162791,0.784363772,1,0.978094545,1,1
"('2.png', '12.png')",0.565853659,0.618095627,0.88372093,0.781393061,0.855555556,0.717546376,1,0.947769414,1,0.9940225
"('2.png', '13.png')",0.522123894,0.64202028,0.848623853,0.728976662,0.881443299,0.783614616,1,0.95110657,0.996815287,0.964239615
"('2.png', '14.png')",0.534562212,0.615028056,0.846534653,0.721401878,0.925742574,0.807657562,1,0.970323181,1,1
"('2.png', '15.png')",0.571428571,0.64888795,0.663316583,0.731039258,0.940594059,0.7982869,1,0.978022794,1,0.95835318
"('2.png', '16.png')",0.586734694,0.619387635,0.884615385,0.792117011,0.80952381,0.776401835,0.994565217,0.959779036,1,1
"('2.png', '17.png')",0.6,0.673616613,0.731818182,0.782377135,0.898734177,0.773080317,1,0.921607541,1,1
"('2.png', '18.png')",0.620512821,0.652628134,0.832512315,0.758373644,0.873096447,0.7787896,1,0.933141388,1,0.971997885
"('2.png', '19.png')",0.7,0.588466721,0.891891892,0.767407955,0.879781421,0.80795343,1,0.998167796,1,0.994279045
"('2.png', '20.png')",0.56185567,0.669224255,0.67281106,0.744175092,0.931707317,0.789271139,1,0.922164313,1,0.953537615
"('2.png', '21.png')",0.556074766,0.693388908,0.723300971,0.663577824,0.961538462,0.821423472,1,0.94809551,1,0.981949101
"('2.png', '22.png')",0.552884615,0.645931724,0.825112108,0.779413678,0.871794872,0.763570519,1,0.948857725,1,0.997762205
"('2.png', '23.png')",0.586021505,0.67028772,0.811158798,0.74107387,0.888888889,0.797842125,1,0.946108091,1,0.981989057
"('2.png', '24.png')",0.617486339,0.65209528,0.871134021,0.743810211,0.819587629,0.794633676,1,0.983295165,1,1
"('2.png', '25.png')",0.736196319,0.623514369,0.867256637,0.785138855,0.894444444,0.751923925,1,0.965153709,1,1
"('2.png', '26.png')",0.624113475,0.518549684,0.80349345,0.763805087,0.930851064,0.794710144,1,0.973282486,1,0.964685919
"('2.png', '27.png')",0.543478261,0.62549472,0.843478261,0.771892411,0.898203593,0.807279043,1,0.944066086,1,0.969199466
"('2.png', '28.png')",0.767741935,0.592936464,0.815217391,0.679699247,0.922651934,0.800180787,1,0.906743179,1,0.977934065
"('2.png', '29.png')",0.589371981,0.672460275,0.808888889,0.73851242,0.896551724,0.811545673,1,0.959421211,0.997005988,0.947203731
"('2.png', '30.png')",0.566326531,0.633064057,0.809302326,0.786665942,0.846153846,0.750567034,1,0.975143422,1,0.983075378
"('2.png', '31.png')",0.524229075,0.681792887,0.841628959,0.714220901,0.890804598,0.784586724,1,0.924458135,1,0.992459661
"('2.png', '32.png')",0.613636364,0.536583242,0.891774892,0.794142495,0.893518519,0.729909026,1,0.98546474,1,1
"('2.png', '33.png')",0.579439252,0.645530268,0.827586207,0.76025575,0.897058824,0.805769923,1,0.946672803,1,0.958649361
"('2.png', '34.png')",0.603603604,0.708660614,0.835106383,0.678827588,0.940789474,0.799967347,1,0.973773735,1,1
"('2.png', '35.png')",0.626794258,0.640214392,0.787735849,0.763884813,0.912195122,0.779360435,1,0.984430286,0.995652174,0.942044734
"('2.png', '36.png')",0.566502463,0.679522602,0.814814815,0.705605082,0.878205128,0.803533488,1,0.991404445,1,1
"('2.png', '37.png')",0.581730769,0.634729855,0.819444444,0.708558636,0.903409091,0.781762732,1,0.94498131,1,1
