Files Compared,ORB 1,SSIM 1,ORB 2,SSIM 2,ORB 3,SSIM 3,ORB 4,SSIM 4,ORB 5,SSIM 5
"('1.png', '2.png')",0.5951417,0.780457041,0.918269231,0.781035652,0.886904762,0.744728831,0.976190476,0.912546734,1,0.963230369
"('1.png', '3.png')",0.823529412,0.647816796,0.840236686,0.77768972,0.912790698,0.82560278,0.984924623,0.872055646,1,0.954692681
"('1.png', '4.png')",0.808917197,0.609742808,0.948453608,0.788806784,0.816216216,0.847306378,0.976958525,0.915990778,0.997607656,0.989110124
"('1.png', '5.png')",0.670731707,0.535977929,0.890410959,0.775824919,0.947643979,0.882661778,0.985365854,0.927217684,0.992718447,0.982508709
"('1.png', '6.png')",0.554621849,0.739721145,0.944444444,0.788733768,0.904458599,0.868785815,0.981481481,0.907929244,0.995402299,0.986513965
"('1.png', '7.png')",0.518867925,0.627617475,0.982532751,0.787500296,0.900552486,0.822786354,0.963800905,0.874749464,1,0.979325831
"('1.png', '8.png')",0.74566474,0.619748728,0.911949686,0.768595684,0.870588235,0.820019134,0.97983871,0.916306788,1,0.974806798
"('1.png', '9.png')",0.57,0.670991225,0.901098901,0.744283855,0.883435583,0.826738838,0.965517241,0.930441704,0.997630332,0.988900579
"('1.png', '10.png')",0.558823529,0.653362426,0.929906542,0.812921776,0.887417219,0.817058421,0.981481481,0.891550015,1,0.985305601
"('1.png', '11.png')",0.5,0.593454593,0.689189189,0.726670509,0.881355932,0.813810109,0.995515695,0.906823973,1,0.99122209
"('1.png', '12.png')",0.582568807,0.665117321,0.947136564,0.778151082,0.911242604,0.863817784,0.985294118,0.914399181,0.99756691,0.985781349
"('1.png', '13.png')",0.576419214,0.712795666,0.881443299,0.77957624,0.850574713,0.72012167,0.990196078,0.86737079,1,0.94383921
"('1.png', '14.png')",0.539823009,0.634655717,0.85,0.790821646,0.938650307,0.84268673,0.995412844,0.907986688,1,0.99122209
"('1.png', '15.png')",0.578431373,0.721027484,0.74691358,0.744058825,0.903954802,0.835495797,0.986725664,0.920171868,1,0.981229332
